"Population using safely managed sanitation services (%)"
"Dimension: Socio-economic sustainability"
"SDG 6.2 By 2030, achieve access to adequate and equitable sanitation and hygiene for all and end open defecation, paying special attention to the needs of women and girls and those in vulnerable situations"
"Definition: Percentage of the population using an improved sanitation facility that is not shared with other households and where excreta are safely disposed of in situ or treated off site. Improved sanitation facilities include flush/pour flush toilets connected to piped sewer systems, septic tanks or pit latrines; pit latrines with slabs (including ventilated pit latrines, and composting toilets."
"Source: WHO (World Health Organization) (2020). Global Health Observatory. www.who.int/gho/. Accessed 21 July 2020."
""
"HDI Rank","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"92"," Lebanon","17","","17","","17","","17","","18","","18","","18","","19","","19","","19","","20","","20","","20","","21","","21","","21","","21","","22",""
"105"," Libya","29","","29","","29","","29","","29","","28","","28","","28","","28","","28","","27","","27","","27","","27","","27","","26","","26","","26",""
"34"," Lithuania","83","","83","","84","","84","","85","","85","","86","","86","","87","","87","","88","","88","","89","","89","","90","","90","","91","","91",""
"23"," Luxembourg","91","","91","","91","","91","","91","","91","","91","","91","","91","","92","","92","","93","","94","","94","","95","","95","","96","","97",""
"62"," Malaysia","78","","78","","78","","78","","79","","79","","79","","79","","80","","81","","82","","82","","83","","84","","85","","86","","87","","89",""
"184"," Mali","7","","8","","9","","9","","10","","10","","11","","12","","12","","13","","14","","15","","15","","16","","17","","17","","18","","19",""
"28"," Malta","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93","","93",""
"74"," Mexico","18","","18","","18","","20","","22","","24","","26","","28","","30","","32","","34","","36","","39","","41","","43","","46","","48","","50",""
".."," Monaco","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"121"," Morocco","32","","32","","33","","34","","34","","35","","35","","36","","36","","36","","37","","37","","38","","38","","38","","39","","39","","39",""
"8"," Netherlands","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97","","97",""
"14"," New Zealand","79","","79","","80","","80","","81","","82","","82","","83","","83","","84","","84","","85","","86","","86","","87","","87","","88","","89",""
"189"," Niger","3","","4","","4","","5","","5","","6","","6","","6","","7","","7","","7","","8","","8","","8","","9","","9","","9","","10",""
"161"," Nigeria","25","","24","","25","","25","","25","","25","","25","","25","","26","","26","","26","","26","","26","","26","","26","","26","","27","","27",""
"82"," North Macedonia","14","","14","","14","","14","","14","","13","","14","","14","","14","","14","","14","","15","","15","","16","","16","","16","","16","","17",""
"1"," Norway","73","","73","","73","","74","","74","","74","","74","","74","","75","","75","","75","","75","","75","","75","","76","","76","","76","","76",""
"103"," Paraguay","44","","45","","46","","47","","47","","48","","49","","50","","51","","52","","53","","54","","54","","55","","56","","57","","58","","58",""
"79"," Peru","11","","13","","15","","16","","18","","20","","21","","23","","25","","27","","29","","31","","33","","35","","37","","39","","41","","43",""
"107"," Philippines","42","","42","","42","","43","","43","","43","","44","","44","","45","","46","","46","","47","","48","","49","","49","","50","","51","","52",""
"35"," Poland","79","","80","","81","","81","","82","","83","","84","","85","","86","","87","","88","","89","","90","","90","","91","","92","","93","","93",""
"38"," Portugal","49","","49","","49","","49","","52","","54","","57","","60","","62","","65","","68","","71","","73","","76","","79","","82","","85","","85",""
